ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
20647,AT&T,GTower,545,Spotted Dove,44,West Virginia,419,254
20648,Mint Mobile,MTower,880,Kite,33,Wisconsin,663,60
20649,Verizon,LTower,876,Bulbul,60,Wyoming,588,233
20650,Lyca Mobile,MTower,580,Sparrow,45,Montgomery,875,51
20651,T-Mobile,GTower,324,Spotted Dove,52,Juneau,866,166
20652,AT&T,LTower,737,Bulbul,68,Phoenix,450,275
20653,AT&T,MTower,358,Kite,55,Little Rock,540,287
20654,Mint Mobile,GTower,864,Sparrow,54,Sacramento,132,101
20655,Lyca Mobile,LTower,542,Spotted Dove,59,Denver,514,197
20656,Verizon,GTower,363,Kite,25,Hartford,560,261
20657,T-Mobile,LTower,463,Bulbul,41,Dover,462,184
20658,Lyca Mobile,MTower,746,Sparrow,61,Tallahassee,386,217
20659,AT&T,LTower,642,Bulbul,72,Atlanta,310,202
20660,Mint Mobile,GTower,748,Kite,30,Honolulu,148,288
20661,Verizon,GTower,326,Spotted Dove,40,Boise,872,65
20662,Lyca Mobile,MTower,787,Sparrow,43,Springfield,885,117
20663,T-Mobile,LTower,608,Sparrow,61,Indianapolis,414,269
20664,AT&T,MTower,515,Bulbul,58,Des Moines,600,151
20665,AT&T,GTower,443,Kite,52,Topeka,441,140
20666,Mint Mobile,LTower,320,Bulbul,63,Frankfort,220,258
20667,Lyca Mobile,MTower,344,Sparrow,64,Baton Rouge,290,80
20668,Verizon,GTower,543,Spotted Dove,74,Augusta,700,65
20669,T-Mobile,LTower,519,Kite,58,Annapolis,836,57
20670,Lyca Mobile,GTower,593,Bulbul,20,Boston,720,124
20671,AT&T,LTower,458,Sparrow,24,Lansing,342,120
20672,Mint Mobile,MTower,586,Spotted Dove,26,St. Paul,463,216
20673,Verizon,LTower,421,Bulbul,36,Jackson,458,66
20674,Lyca Mobile,GTower,645,Kite,67,Jefferson City,268,74
20675,T-Mobile,GTower,900,Sparrow,47,Helena,393,113
20676,AT&T,MTower,779,Spotted Dove,65,Lincoln,439,198
20677,AT&T,LTower,550,Kite,60,Carson City,754,165
20678,Mint Mobile,MTower,841,Bulbul,41,Concord,867,275
20679,Lyca Mobile,GTower,525,Sparrow,26,Trenton,306,279
20680,Verizon,LTower,741,Bulbul,21,Santa Fe,674,242
20681,T-Mobile,MTower,547,Kite,39,Albany,654,127
20682,Lyca Mobile,GTower,883,Spotted Dove,61,Raleigh,364,121
20683,AT&T,LTower,572,Sparrow,40,Bismarck,712,139
20684,Mint Mobile,GTower,780,Sparrow,40,Columbus,674,217
20685,Verizon,LTower,887,Bulbul,64,Oklahoma City,423,195
20686,Lyca Mobile,MTower,617,Kite,67,Salem,540,237
20687,T-Mobile,LTower,574,Bulbul,29,Harrisburg,441,165
20688,AT&T,GTower,859,Sparrow,25,Providence,554,159
20689,AT&T,GTower,337,Spotted Dove,20,Columbia,540,264
20690,Mint Mobile,MTower,437,Kite,25,Pierre,473,162
20691,Lyca Mobile,LTower,426,Bulbul,73,Nashville,641,122
20692,Verizon,MTower,486,Sparrow,67,Austin,443,234
20693,T-Mobile,GTower,865,Spotted Dove,55,Salt Lake City,390,112
20694,Lyca Mobile,LTower,786,Bulbul,50,Montpelier,446,227
20695,AT&T,MTower,475,Kite,79,Richmond,544,160
20696,Mint Mobile,GTower,339,Sparrow,27,Olympia,779,120
20697,Verizon,LTower,402,Spotted Dove,30,Charleston,278,273
20698,Lyca Mobile,GTower,715,Kite,55,Madison,470,220
20699,T-Mobile,LTower,687,Bulbul,70,Cheyenne,280,102
20700,AT&T,MTower,730,Sparrow,59,Alabama,293,168
20701,AT&T,LTower,531,Bulbul,51,Alaska,738,253
20702,Mint Mobile,GTower,603,Kite,34,Arizona,363,213
20703,Lyca Mobile,GTower,435,Spotted Dove,66,Arkansas,717,293
20704,Verizon,MTower,743,Sparrow,39,California,142,225
20705,T-Mobile,LTower,491,Sparrow,79,Colorado,556,234
20706,Lyca Mobile,MTower,851,Bulbul,56,Connecticut,183,146
20707,AT&T,GTower,822,Kite,25,Delaware,216,252
20708,Mint Mobile,LTower,640,Bulbul,30,Florida,806,217
20709,Verizon,MTower,587,Sparrow,53,Georgia,647,142
20710,Lyca Mobile,GTower,382,Spotted Dove,71,Hawaii,220,279
20711,T-Mobile,LTower,552,Kite,22,Idaho,683,262
20712,AT&T,GTower,885,Bulbul,43,Illinois,699,63
20713,AT&T,LTower,849,Sparrow,46,Indiana,773,286
20714,Mint Mobile,MTower,522,Spotted Dove,26,Iowa,849,178
20715,Lyca Mobile,LTower,330,Bulbul,78,Kansas,553,92
20716,Verizon,GTower,809,Kite,53,Kentucky,876,253
20717,T-Mobile,GTower,408,Sparrow,28,Louisiana,624,176
20718,Lyca Mobile,MTower,497,Spotted Dove,26,Maine,892,150
20719,AT&T,LTower,761,Kite,40,Maryland,827,298
20720,Mint Mobile,MTower,400,Bulbul,28,Massachusetts,714,169
20721,Verizon,GTower,889,Sparrow,38,Michigan,344,75
20722,Lyca Mobile,LTower,666,Bulbul,58,Minnesota,327,291
20723,T-Mobile,MTower,730,Kite,26,Mississippi,758,246
20724,AT&T,GTower,872,Spotted Dove,42,Missouri,789,213
20725,AT&T,LTower,889,Sparrow,36,Montana,244,55
20726,Mint Mobile,GTower,540,Sparrow,20,Nebraska,254,63
20727,Lyca Mobile,LTower,598,Bulbul,43,Nevada,473,246
20728,Verizon,MTower,356,Kite,33,New Hampshire,556,171
20729,T-Mobile,LTower,820,Bulbul,61,New Jersey,426,63
20730,Lyca Mobile,GTower,304,Sparrow,67,New Mexico,762,194
20731,AT&T,GTower,311,Spotted Dove,67,New York,766,266
20732,Mint Mobile,MTower,428,Kite,38,North Carolina,108,103
20733,Verizon,LTower,706,Bulbul,21,North Dakota,107,281
20734,Lyca Mobile,MTower,616,Sparrow,22,Ohio,698,195
20735,T-Mobile,GTower,341,Spotted Dove,72,Oklahoma,112,290
20736,AT&T,LTower,323,Bulbul,52,Oregon,545,133
20737,AT&T,MTower,492,Kite,54,Pennsylvania,811,260
20738,Mint Mobile,GTower,418,Sparrow,24,Rhode Island,569,201
20739,Lyca Mobile,LTower,342,Spotted Dove,40,South Carolina,477,295
20740,Verizon,GTower,349,Kite,50,South Dakota,896,55
20741,T-Mobile,LTower,729,Bulbul,37,Tennessee,759,90
20742,Lyca Mobile,MTower,426,Sparrow,25,Texas,189,50
20743,AT&T,LTower,793,Bulbul,71,Utah,297,162
20744,Mint Mobile,GTower,644,Kite,52,Vermont,800,185
20745,Verizon,GTower,334,Spotted Dove,78,Virginia,890,210
20746,Lyca Mobile,MTower,859,Sparrow,36,Washington,613,134
20747,T-Mobile,LTower,715,Sparrow,49,West Virginia,274,212
20748,AT&T,MTower,644,Bulbul,62,Wisconsin,408,119
20749,AT&T,GTower,623,Kite,73,Wyoming,101,95
20750,Mint Mobile,LTower,716,Bulbul,40,Montgomery,795,171
20751,Lyca Mobile,MTower,680,Sparrow,35,Juneau,417,197
20752,Verizon,GTower,523,Spotted Dove,42,Phoenix,449,289
20753,T-Mobile,LTower,386,Kite,77,Little Rock,185,271
20754,Lyca Mobile,GTower,363,Bulbul,31,Sacramento,453,230
20755,AT&T,LTower,749,Sparrow,54,Denver,462,263
20756,Mint Mobile,MTower,534,Spotted Dove,70,Hartford,880,263
20757,Verizon,LTower,538,Bulbul,47,Dover,302,200
20758,Lyca Mobile,GTower,471,Kite,26,Tallahassee,268,198
20759,T-Mobile,GTower,445,Sparrow,79,Atlanta,170,281
20760,AT&T,MTower,852,Spotted Dove,60,Honolulu,433,101
20761,AT&T,LTower,899,Kite,41,Boise,343,94
20762,Mint Mobile,MTower,483,Bulbul,62,Springfield,310,127
20763,Lyca Mobile,GTower,627,Sparrow,60,Indianapolis,313,267
20764,Verizon,LTower,804,Bulbul,80,Des Moines,253,124
20765,T-Mobile,MTower,378,Kite,30,Topeka,180,133
20766,Lyca Mobile,GTower,480,Spotted Dove,45,Frankfort,526,199
20767,AT&T,LTower,865,Sparrow,22,Baton Rouge,143,260
20768,Mint Mobile,GTower,729,Sparrow,64,Augusta,682,233
20769,Verizon,LTower,564,Bulbul,28,Annapolis,559,157
20770,Lyca Mobile,MTower,394,Kite,46,Boston,319,114
20771,T-Mobile,LTower,466,Bulbul,33,Lansing,491,154
20772,AT&T,GTower,417,Sparrow,55,St. Paul,742,166
20773,AT&T,GTower,862,Spotted Dove,33,Jackson,495,277
20774,Mint Mobile,MTower,465,Kite,73,Jefferson City,629,83
20775,Lyca Mobile,LTower,750,Bulbul,64,Helena,479,283
20776,Verizon,MTower,388,Sparrow,43,Lincoln,742,278
20777,T-Mobile,GTower,413,Spotted Dove,44,Carson City,338,257
20778,Lyca Mobile,LTower,697,Bulbul,74,Concord,614,207
20779,AT&T,MTower,548,Kite,73,Trenton,277,203
20780,Mint Mobile,GTower,735,Sparrow,63,Santa Fe,481,126
20781,Verizon,LTower,459,Spotted Dove,25,Albany,772,102
20782,Lyca Mobile,GTower,389,Kite,35,Raleigh,713,208
20783,T-Mobile,LTower,778,Bulbul,36,Bismarck,353,137
20784,AT&T,MTower,877,Sparrow,64,Columbus,439,129
20785,AT&T,LTower,691,Bulbul,27,Oklahoma City,891,195
20786,Mint Mobile,GTower,538,Kite,36,Salem,337,255
20787,Lyca Mobile,GTower,447,Spotted Dove,34,Harrisburg,405,255
20788,Verizon,MTower,733,Sparrow,25,Providence,187,70
20789,T-Mobile,LTower,864,Sparrow,58,Columbia,612,78
20790,Lyca Mobile,MTower,867,Bulbul,22,Pierre,242,70
20791,AT&T,GTower,830,Kite,62,Nashville,374,295
20792,Mint Mobile,LTower,389,Bulbul,20,Austin,827,268
20793,Verizon,MTower,410,Sparrow,48,Salt Lake City,242,60
20794,Lyca Mobile,GTower,358,Spotted Dove,61,Montpelier,257,90
20795,T-Mobile,LTower,664,Kite,78,Richmond,178,266
20796,AT&T,GTower,830,Bulbul,25,Olympia,379,278
20797,AT&T,LTower,864,Sparrow,28,Charleston,771,166
20798,Mint Mobile,MTower,454,Spotted Dove,79,Madison,415,281
20799,Lyca Mobile,LTower,883,Bulbul,75,Cheyenne,700,237
20800,Verizon,GTower,655,Kite,65,Vermont,224,103
20801,T-Mobile,GTower,730,Sparrow,58,Virginia,132,97
20802,Lyca Mobile,MTower,776,Spotted Dove,62,Washington,692,178
20803,AT&T,LTower,573,Kite,55,West Virginia,700,112
20804,Mint Mobile,MTower,659,Bulbul,50,Wisconsin,883,184
20805,Verizon,GTower,870,Sparrow,31,Wyoming,585,103
20806,Lyca Mobile,LTower,689,Bulbul,70,Montgomery,874,126
20807,T-Mobile,MTower,444,Kite,39,Juneau,224,240
20808,AT&T,GTower,827,Spotted Dove,68,Phoenix,864,275
20809,AT&T,LTower,508,Sparrow,29,Little Rock,892,209
20810,Mint Mobile,GTower,450,Sparrow,27,Sacramento,461,103
20811,Lyca Mobile,LTower,574,Bulbul,44,Denver,433,109
20812,Verizon,MTower,830,Kite,79,Hartford,880,231
20813,T-Mobile,LTower,721,Bulbul,32,Dover,803,69
20814,Lyca Mobile,GTower,304,Sparrow,60,Tallahassee,368,114
20815,AT&T,GTower,838,Spotted Dove,27,Atlanta,428,263
20816,Mint Mobile,MTower,781,Kite,22,Honolulu,533,289
20817,Verizon,LTower,467,Bulbul,41,Boise,488,170
